Date,Country,Units,Revenue
08-03-2019,Brazil,297,4785.21
24-03-2019,Panama,373,12083.59
09-03-2019,Panama,100,9225.41
10-03-2019,Brazil,326,20578.6
02-03-2019,Panama,191,6847.77
25-03-2019,Panama,111,5681.79
17-03-2019,Brazil,354,11494.38
03-03-2019,Panama,123,8945.28
15-03-2019,Brazil,17,809.78
21-03-2019,Canada,228,6600.27
28-03-2019,Colombia,264,3406.28
05-03-2019,Canada,330,4516.41
17-03-2019,Canada,327,7203.28
12-03-2019,Canada,321,4787.62
21-03-2019,USA,116,1423.69
31-03-2019,Colombia,335,6902.02
29-03-2019,Colombia,44,1573.23
17-03-2019,Canada,177,11049.93
11-03-2019,USA,84,2251.19
05-03-2019,Colombia,284,9100.6
23-03-2019,Canada,13,243.09
22-03-2019,Brazil,375,6728.95
01-03-2019,Canada,245,21329.32
10-03-2019,Canada,259,5936.95
01-03-2019,Panama,120,19.23
06-03-2019,Brazil,59,1426.94
01-03-2019,Colombia,21,938.51
04-03-2019,USA,42,2338.65
11-03-2019,USA,121,1842.54
05-03-2019,Canada,133,3448.99
02-03-2019,USA,300,15047.92
24-03-2019,USA,265,10773.69
20-03-2019,Brazil,299,9234.44
16-03-2019,Colombia,142,5208.05
26-03-2019,USA,62,1910.55
26-03-2019,USA,288,26071.3
30-03-2019,Brazil,84,1529.2
16-03-2019,Panama,361,13539.63
13-03-2019,Panama,166,5164.82
18-03-2019,Canada,233,2359.93
22-03-2019,USA,146,10969.18
09-03-2019,Brazil,12,265.21
22-03-2019,Colombia,77,679.69
01-03-2019,Brazil,330,16304.19
18-03-2019,Brazil,52,282.67
15-03-2019,Brazil,340,6866.17
30-03-2019,USA,252,5764.04
16-03-2019,Colombia,125,4078.71
09-03-2019,Colombia,231,22348.09
29-03-2019,Canada,123,2760.27
06-03-2019,Colombia,223,2460.7
21-03-2019,Canada,309,25937.26
21-03-2019,Brazil,351,122.05
17-03-2019,Panama,152,3473.53
01-03-2019,Colombia,375,1743.96
17-03-2019,Brazil,350,2320.24
18-03-2019,Colombia,234,10897.2
10-03-2019,Canada,350,4257.85
10-03-2019,Brazil,390,36749.9
18-03-2019,USA,358,16081.24
25-03-2019,Brazil,101,781.84
30-03-2019,Brazil,19,38.12
20-03-2019,USA,143,4277.05
15-03-2019,USA,385,7498.51
30-03-2019,Brazil,360,28519.98
30-03-2019,Canada,44,2635.02
19-03-2019,USA,50,2328.1
15-03-2019,Colombia,310,3944.66
24-03-2019,Canada,187,6359.91
05-03-2019,Panama,185,4189.43
02-03-2019,USA,322,18647.32
24-03-2019,Brazil,220,3272.31
15-03-2019,Canada,195,8223.74
07-03-2019,USA,148,2334.89
02-03-2019,Brazil,287,5442.03
31-03-2019,Canada,202,6633.31
22-03-2019,Brazil,274,1400.58
02-03-2019,USA,271,4330.1
22-03-2019,Panama,190,9255.81
08-03-2019,Panama,45,3472.2
24-03-2019,USA,53,1289.98
06-03-2019,Colombia,59,3778.7
02-03-2019,Panama,307,9825.33
01-03-2019,Brazil,21,705.43
10-03-2019,USA,88,1844.85
22-03-2019,Canada,364,17685.07
21-03-2019,Canada,111,4131.33
26-03-2019,Panama,251,5165.67
27-03-2019,Brazil,51,293.13
11-03-2019,Colombia,87,7239.79
20-03-2019,Panama,222,11914.38
19-03-2019,Panama,203,7589.27
20-03-2019,USA,371,4144.23
06-03-2019,Brazil,317,6727.08
26-03-2019,USA,390,28777.31
26-03-2019,Colombia,312,4246.25
09-03-2019,Brazil,162,4370.14
12-03-2019,USA,36,1844.01
27-03-2019,Brazil,54,1648.55
06-03-2019,Brazil,221,1618.7
16-03-2019,Colombia,278,13581.7
10-03-2019,USA,252,3187.77
07-03-2019,Panama,171,11069.42
15-03-2019,Panama,271,14818.65
11-03-2019,USA,189,12030.73
04-03-2019,Brazil,331,7276.46
10-03-2019,Canada,319,3905.21
10-03-2019,Panama,79,1361.8
16-03-2019,Canada,291,1168.28
22-03-2019,Colombia,116,3249.67
19-03-2019,Canada,320,1667.34
10-03-2019,USA,337,3863.87
03-03-2019,Panama,125,2255.66
25-03-2019,Canada,170,8649.55
08-03-2019,Brazil,119,4840.04
28-03-2019,Panama,148,3462.6
22-03-2019,USA,380,14205.43
09-03-2019,USA,359,2434.72
16-03-2019,USA,89,3595.53
08-03-2019,Canada,392,1379.86
17-03-2019,Brazil,151,2206.93
03-03-2019,USA,155,2899.65
16-03-2019,Colombia,370,8150.54
17-03-2019,Panama,293,9024.29
19-03-2019,Canada,266,2614.44
11-03-2019,Panama,262,13650.37
25-03-2019,Panama,123,5206.13
31-03-2019,Colombia,329,10854.88
27-03-2019,Canada,105,901.54
14-03-2019,Canada,378,12162.08
16-03-2019,Canada,198,12816.04
30-03-2019,USA,29,929.21
06-03-2019,USA,261,11490.92
28-03-2019,Panama,74,2044.38
26-03-2019,Brazil,27,260.11
21-03-2019,Canada,69,4625.44
30-03-2019,Panama,263,12049
11-03-2019,Brazil,337,16791.81
30-03-2019,Canada,170,4022.81
24-03-2019,USA,102,638.37
24-03-2019,USA,69,1582.46
13-03-2019,Canada,122,1471.84
03-03-2019,Panama,60,2050.05
01-03-2019,Brazil,294,3781.43
20-03-2019,USA,329,12098.23
19-03-2019,Brazil,94,4224.3
09-03-2019,USA,252,2622.98
03-03-2019,Brazil,354,26971.78
22-03-2019,Panama,176,5652.58
03-03-2019,Panama,63,266.36
19-03-2019,Panama,167,8436.45
16-03-2019,USA,361,5685.54
30-03-2019,Canada,122,1685.54
23-03-2019,Brazil,205,6479.62
07-03-2019,Canada,84,6281.87
07-03-2019,Canada,378,6530.52
07-03-2019,Canada,57,1385.29
04-03-2019,Brazil,43,523.84
18-03-2019,Panama,240,6623.29
23-03-2019,USA,43,1196.28
14-03-2019,Panama,340,29618.13
19-03-2019,Brazil,20,133.92
04-03-2019,Brazil,177,3046.36
24-03-2019,USA,340,7836.67
09-03-2019,USA,110,4812.54
11-03-2019,Panama,209,4766.78
18-03-2019,Colombia,209,12372.06
04-03-2019,Brazil,239,569.32
27-03-2019,Colombia,337,11246.36
23-03-2019,Colombia,104,3098.97
27-03-2019,Canada,237,1094.25
28-03-2019,Canada,55,2426.3
11-03-2019,Brazil,129,3898.76
03-03-2019,Colombia,195,1970.56
12-03-2019,Panama,400,3538.93
09-03-2019,Panama,248,13289.86
10-03-2019,Panama,361,17512.72
17-03-2019,Colombia,249,4354.96
18-03-2019,Canada,160,9034.22
24-03-2019,USA,199,5392.03
07-03-2019,USA,240,4064.12
10-03-2019,Brazil,291,13549.22
17-03-2019,USA,378,5687.77
06-03-2019,Colombia,225,9249.71
12-03-2019,Colombia,26,354.88
12-03-2019,Panama,168,9730.1
31-03-2019,Colombia,240,145.32
16-03-2019,Canada,11,51.43
21-03-2019,Panama,156,3888.81
17-03-2019,Colombia,212,309.26
13-03-2019,Canada,137,891.15
21-03-2019,Panama,102,2134.36
14-03-2019,Panama,144,3127.52
17-03-2019,Brazil,360,4405.11
21-03-2019,Panama,152,2132.08
06-03-2019,Panama,390,23990.7
08-03-2019,Canada,17,1528.84
31-03-2019,Brazil,337,2750.29
28-03-2019,USA,319,10656.61
08-03-2019,USA,155,11919.24
10-03-2019,Panama,385,11010.65
15-03-2019,USA,246,6002.69
02-03-2019,USA,240,3783.21
22-03-2019,Panama,299,3707.41
22-03-2019,Brazil,120,660.37
09-03-2019,Panama,197,10554.67
